exposure,ifilter,ra_center,dec_center,OBJECT,EXPNUM
110.0,g,223.164166666667,-9.59652777777778,DECaLS_1226_g,1202641
89.0,r,59.4137916666667,-2.54763888888889,DECaLS_21449_r,780755
97.0,g,225.150041666667,-9.63858333333333,DECaLS_18305_g,1202642
80.0,g,213.715541666667,-9.59363888888889,DECaLS_33036_g,1202637
80.0,g,211.732083333333,-9.50938888888889,DECaLS_17165_g,1202636
75.0,r,242.912291666667,-0.982833333333333,DECaLS_38122_r,1202651
75.0,r,244.200333333333,-1.90444444444444,DECaLS_38128_r,1202652
88.0,g,143.001,-4.805,DECaLS_15719_g,720491
71.0,g,154.759,-1.538,DECaLS_15860_g,511895
105.0,r,245.486791666667,-2.82588888888889,DECaLS_38135_r,1202653
135.0,z,23.565,21.415,DECaLS_2303_z,347128
151.0,g,250.491,2.795,DECaLS_15108_g,747421
74.0,r,241.591416666667,-0.0641666666666667,DECaLS_46825_r,1202650
125.0,z,24.311875,24.6648611111111,DECaLS_36587_z,347797
158.0,g,154.425666666667,31.0265555555556,DECaLS_2056_g,626039
66.0,r,228.916125,0.000833333333333333,DECaLS_1119_r,347306
85.0,r,241.326291666667,-1.84669444444444,DECaLS_38117_r,1202648
62.0,r,216.772,-9.61863888888889,DECaLS_17162_r,1202640
94.0,g,130.606995833333,-6.406,DECaLS_14299_g,720085
67.0,r,240.003333333333,-0.890916666666667,DECaLS_38114_r,1202647
125.0,r,145.80125,9.41494444444444,DECaLS_47555_r,624491
77.0,g,242.865791666667,7.09391666666667,DECaLS_30985_g,348234
63.0,r,214.6805,-11.1833333333333,DECaLS_33016_r,1202639
137.0,z,341.749791666667,27.13075,DECaLS_8335_z,347445
56.0,g,21.2345416666667,-12.1041666666667,DECaLS_12609_g,770665
80.0,r,214.380458333333,-11.1423611111111,DECaLS_17144_r,1202638
190.0,z,348.292,21.741,DECaLS_7739_z,347082
102.0,r,238.833875,-9.86219444444444,DECaLS_18323_r,1202660
62.0,r,158.219,1.516,DECaLS_15871_r,393280
92.0,r,240.0035,-12.5379444444444,DECaLS_34221_r,1202659
71.0,z,181.91,12.521,DECaLS_9583_z,426079
118.0,r,243.575416666667,-5.48044444444444,DECaLS_38126_r,1202655
132.0,z,202.939916666667,-0.0739166666666667,DECaLS_17224_z,396127
88.0,r,242.586916666667,-7.13380555555556,DECaLS_6381_r,1202656
78.0,g,180.292,-7.037,DECaLS_22825_g,535965
175.0,g,321.134,11.219,DECaLS_27701_g,559134
92.0,r,243.899291666667,-3.69986111111111,DECaLS_38127_r,1202654
125.0,g,116.165666666667,24.0235833333333,DECaLS_42496_g,509150
125.0,g,113.201541666667,26.0417222222222,DECaLS_39239_g,509142
80.0,z,308.660625,-28.2160555555556,DECaLS_32516_z,1202756
118.0,z,153.463708333333,29.4927777777778,DECaLS_2079_z,807446
69.0,r,212.235,18.793,DECaLS_103_r,433299
80.0,z,308.031666666667,-26.6391111111111,DECaLS_32497_z,1202760
