,ra,dec,u,g,r,i,z,Y
354,316.680208333333,-16.1550277777778,False,False,False,True,False,False
355,150.281416666667,-10.4341388888889,False,False,False,True,False,False
356,154.656583333333,-8.70755555555555,False,False,False,True,False,False
357,141.341208333333,-5.98097222222222,False,False,False,True,False,False
358,140.414541666667,-7.58377777777778,False,False,False,True,False,False
359,140.797458333333,-12.28125,False,False,False,True,False,False
360,169.502291666667,-19.0256111111111,False,False,False,True,False,False
361,121.345333333333,-1.53872222222222,False,False,False,True,False,False
362,79.125,-10.1442222222222,False,False,False,True,False,False
363,123.784875,-9.12155555555556,False,False,False,True,False,False
364,124.779958333333,-12.1391944444444,False,False,False,True,False,False
365,78.9362083333333,-11.9458611111111,False,False,False,True,False,False
366,119.658916666667,-6.95402777777778,False,False,False,True,False,False
367,76.5925833333333,-6.48983333333333,False,False,False,True,False,False
368,4.88595833333333,-41.7916388888889,False,False,False,True,False,False
369,2.561125,-36.4770555555556,False,False,False,True,False,False
370,4.97545833333333,-41.7738055555556,False,False,False,True,False,False
371,87.6545416666666,-11.0845,False,False,False,True,False,False
372,2.56295833333333,-41.7917777777778,False,False,False,True,False,False
373,325.06275,-11.5220277777778,False,False,False,True,False,False
374,123.137375,-1.30441666666667,False,False,False,True,False,False
375,136.67475,-27.4621111111111,False,False,False,True,False,False
376,124.689333333333,-15.8924722222222,False,False,False,True,False,False
377,86.3166666666666,-12.9051111111111,False,False,False,True,False,False
378,87.7853333333333,-13.8150555555556,False,False,False,True,False,False
379,124.319708333333,-55.5838888888889,False,False,False,True,False,False
380,92.3157083333333,-14.7199166666667,False,False,False,True,False,False
381,101.794125,-57.0745,False,False,False,True,False,False
382,96.4720416666667,-11.1256111111111,False,False,False,True,False,False
383,58.8335,-11.3460555555556,False,False,False,True,False,False
384,90.5902083333333,-11.1108055555556,False,False,False,True,False,False
385,320.725416666667,-35.4964722222222,False,False,False,True,False,False
386,325.946958333333,-34.0918611111111,False,False,False,True,False,False
387,317.187416666667,-6.45708333333333,False,False,False,True,False,False
388,318.448625,-16.2014166666667,False,False,False,True,False,False
389,332.649416666667,-39.1389166666667,False,False,False,True,False,False
390,155.100708333333,-16.3453611111111,False,False,False,True,False,False
391,151.694291666667,-14.295,False,False,False,True,False,False
392,153.540958333333,-13.3695555555556,False,False,False,True,False,False
393,145.905875,-12.1623055555556,False,False,False,True,False,False
394,142.0675,-7.55294444444444,False,False,False,True,False,False
395,170.4575,-19.4483611111111,False,False,False,True,False,False
396,144.458458333333,-9.07463888888889,False,False,False,True,False,False
397,159.787333333333,-11.4949166666667,False,False,False,True,False,False
398,120.614708333333,-10.0198611111111,False,False,False,True,False,False
399,84.8668333333333,-7.38983333333333,False,False,False,True,False,False
400,84.9259583333333,-5.54302777777778,False,False,False,True,False,False
401,7.29666666666667,-39.1358888888889,False,False,False,True,False,False
402,0.236166666666667,-39.0871666666667,False,False,False,True,False,False
403,323.370125,-11.5488888888889,False,False,False,True,False,False
404,2.65254166666667,-41.74225,False,False,False,True,False,False
405,128.989875,-17.8647777777778,False,False,False,True,False,False
406,130.8845,-4.50083333333333,False,False,False,True,False,False
407,130.21775,-2.90636111111111,False,False,False,True,False,False
408,127.9125,-1.30469444444444,False,False,False,True,False,False
409,90.796125,-13.8258055555556,False,False,False,True,False,False
410,137.009875,-19.9040555555556,False,False,False,True,False,False
411,110.368375,-43.0924722222222,False,False,False,True,False,False
412,94.0340416666667,-20.8962777777778,False,False,False,True,False,False
413,94.9630833333333,-10.2117777777778,False,False,False,True,False,False
414,164.537375,-46.3005833333333,False,True,False,False,False,False
415,167.230583333333,-47.6328888888889,False,True,False,False,False,False
416,328.382416666667,-39.1558333333333,False,False,False,True,False,False
417,328.38125,-36.0038888888889,False,False,False,True,False,False
418,78.7358333333333,-13.7361111111111,False,True,False,False,False,False
419,156.580041666667,-43.7801666666667,False,True,False,False,False,False
420,80.9123333333333,-5.57913888888889,False,True,False,False,False,False
421,82.27825,-6.50277777777778,False,True,False,False,False,False
422,86.560625,-5.58436111111111,False,True,False,False,False,False
423,322.659583333333,-38.6990277777778,False,False,False,True,False,False
424,95.7904583333333,-23.48025,False,True,False,False,False,False
425,72.6840833333333,-13.6288333333333,False,True,False,False,False,False
426,93.4783333333333,-9.29275,False,True,False,False,False,False
427,93.3997083333333,-5.60783333333333,False,True,False,False,False,False
428,89.2760416666667,-14.7189444444444,False,True,False,False,False,False
429,82.102125,-5.52819444444444,False,True,False,False,False,False
430,98.5531666666667,-15.472,False,True,False,False,False,False
431,85.0079583333333,-1.83497222222222,False,True,False,False,False,False
432,100.096541666667,-18.2489444444444,False,True,False,False,False,False
433,81.499875,-14.6202777777778,False,True,False,False,False,False
434,356.2455,-19.0928055555556,False,True,False,False,False,False
435,74.0250833333333,-13.5851944444444,False,True,False,False,False,False
436,73.7568333333333,-15.3473333333333,False,True,False,False,False,False
437,354.3595,-16.4182777777778,False,True,False,False,False,False
438,353.284875,-20.7372222222222,False,True,False,False,False,False
439,1.39608333333333,-37.8060833333333,False,True,False,False,False,False
440,163.017,-38.4670833333333,False,True,False,False,False,False
441,161.089208333333,-43.48775,False,True,False,False,False,False
442,152.645791666667,-39.1387222222222,False,True,False,False,False,False
443,93.71025,-10.1848055555556,False,True,False,False,False,False
444,90.7940416666667,-8.36144444444444,False,True,False,False,False,False
445,92.2634583333333,-11.1035833333333,False,True,False,False,False,False
446,129.124916666667,-19.5121944444444,False,True,False,False,False,False
447,85.2104583333333,-2.79894444444444,False,True,False,False,False,False
448,95.1358333333333,-9.26669444444445,False,True,False,False,False,False
449,150.722041666667,-42.32525,False,True,False,False,False,False
450,94.312125,-27.7724166666667,False,True,False,False,False,False
451,0.319916666666667,-39.1398333333333,False,True,False,False,False,False
452,102.504791666667,-24.2401666666667,False,True,False,False,False,False
453,86.3892916666667,-2.77505555555556,False,True,False,False,False,False
454,89.1958333333333,-0.932666666666667,False,True,False,False,False,False
455,93.4344166666667,-7.45502777777778,False,True,False,False,False,False
456,89.144,-8.35575,False,True,False,False,False,False
457,87.7509583333333,-5.57422222222222,False,True,False,False,False,False
458,95.0413333333333,-12.0282222222222,False,True,False,False,False,False
459,87.7760833333333,-3.71744444444444,False,True,False,False,False,False
460,79.4405416666667,-1.79680555555556,False,True,False,False,False,False
461,93.5882916666666,-12.93,False,True,False,False,False,False
462,90.7006666666666,-7.43258333333333,False,True,False,False,False,False
463,356.200041666667,-21.8734722222222,False,True,False,False,False,False
464,1.39729166666667,-37.7735833333333,False,True,False,False,False,False
465,150.521875,-39.1658333333333,False,True,False,False,False,False
466,77.3356666666667,-12.8265555555556,False,True,False,False,False,False
467,82.0466666666667,-10.1644166666667,False,True,False,False,False,False
468,77.1111666666667,-14.6028888888889,False,True,False,False,False,False
469,79.6755416666667,-0.936416666666667,False,True,False,False,False,False
470,77.7564166666667,-9.23391666666667,False,True,False,False,False,False
471,157.101333333333,-44.0219722222222,False,True,False,False,False,False
472,157.834833333333,-42.3796388888889,False,True,False,False,False,False
473,93.37875,-3.75227777777778,False,True,False,False,False,False
474,92.4465416666667,-26.0920555555556,False,True,False,False,False,False
475,153.415541666667,-42.6081111111111,False,True,False,False,False,False
